rank,id
48,Aruba
169,Afghanistan
31,Angola
163,Albania
200,Arab World
117,United Arab Emirates
215,Argentina
17,Armenia
228,Antigua and Barbuda
137,Australia
145,Austria
51,Azerbaijan
37,Burundi
131,Belgium
180,Benin
50,Burkina Faso
80,Bangladesh
18,Bulgaria
52,Bahrain
101,"Bahamas, The"
118,Bosnia and Herzegovina
4,Belarus
71,Belize
149,Bolivia
186,Brazil
144,Barbados
116,Brunei Darussalam
160,Bhutan
16,Botswana
12,Central African Republic
196,Canada
49,Central Europe and the Baltics
182,Switzerland
75,Channel Islands
170,Chile
47,China
62,Cote d'Ivoire
56,Cameroon
67,"Congo, Dem. Rep."
24,"Congo, Rep."
223,Colombia
234,Comoros
146,Cabo Verde
136,Costa Rica
189,Caribbean small states
111,Cuba
181,Cyprus
7,Czech Republic
138,Germany
68,Djibouti
65,Denmark
168,Dominican Republic
135,Algeria
83,East Asia & Pacific (excluding high income)
212,Early-demographic dividend
98,East Asia & Pacific
32,Europe & Central Asia (excluding high income)
114,Europe & Central Asia
226,Ecuador
198,"Egypt, Arab Rep."
148,Euro area
87,Eritrea
124,Spain
19,Estonia
43,Ethiopia
150,European Union
187,Fragile and conflict affected situations
172,Finland
123,Fiji
156,France
133,"Micronesia, Fed. Sts."
126,Gabon
132,United Kingdom
11,Georgia
89,Ghana
96,Guinea
210,"Gambia, The"
162,Guinea-Bissau
204,Equatorial Guinea
225,Greece
110,Grenada
197,Guatemala
192,Guam
63,Guyana
218,High income
235,"Hong Kong SAR, China"
201,Honduras
88,Heavily indebted poor countries (HIPC)
57,Croatia
217,Haiti
6,Hungary
152,IBRD only
164,IDA & IBRD total
188,IDA total
60,IDA blend
205,Indonesia
184,IDA only
219,India
77,Ireland
102,"Iran, Islamic Rep."
70,Iraq
103,Iceland
2,Israel
174,Italy
44,Jamaica
119,Jordan
175,Japan
36,Kazakhstan
15,Kenya
203,Kyrgyz Republic
13,Cambodia
161,Kiribati
211,"Korea, Rep."
82,Kuwait
227,Latin America & Caribbean (excluding high income)
86,Lao PDR
90,Lebanon
115,Liberia
29,Libya
99,St. Lucia
221,Latin America & Caribbean
154,Least developed countries: UN classification
109,Low income
53,Sri Lanka
231,Lower middle income
158,Low & middle income
9,Lesotho
91,Late-demographic dividend
8,Lithuania
130,Luxembourg
3,Latvia
209,"Macao SAR, China"
191,Morocco
35,Moldova
113,Madagascar
233,Maldives
220,Middle East & North Africa
127,Mexico
151,Middle income
100,North Macedonia
194,Mali
155,Malta
173,Myanmar
207,Middle East & North Africa (excluding high income)
10,Montenegro
159,Mongolia
104,Mozambique
139,Mauritania
193,Mauritius
14,Malawi
167,Malaysia
165,North America
28,Namibia
190,New Caledonia
79,Niger
21,Nigeria
236,Nicaragua
106,Netherlands
61,Norway
185,Nepal
81,New Zealand
216,OECD members
179,Oman
58,Other small states
143,Pakistan
183,Panama
206,Peru
92,Philippines
171,Papua New Guinea
59,Poland
55,Pre-demographic dividend
46,Puerto Rico
121,"Korea, Dem. People's Rep."
120,Portugal
147,Paraguay
178,Pacific island small states
222,Post-demographic dividend
229,French Polynesia
107,Qatar
54,Romania
5,Russian Federation
23,Rwanda
213,South Asia
95,Saudi Arabia
93,Sudan
69,Senegal
199,Singapore
140,Solomon Islands
20,Sierra Leone
112,El Salvador
76,Somalia
41,Sub-Saharan Africa (excluding high income)
125,South Sudan
39,Sub-Saharan Africa
94,Small states
33,Sao Tome and Principe
105,Suriname
42,Slovak Republic
64,Slovenia
142,Sweden
27,Eswatini
73,Syrian Arab Republic
134,Chad
85,East Asia & Pacific (IDA & IBRD countries)
38,Europe & Central Asia (IDA & IBRD countries)
108,Togo
195,Thailand
66,Tajikistan
129,Turkmenistan
224,Latin America & the Caribbean (IDA & IBRD countries)
30,Timor-Leste
208,Middle East & North Africa (IDA & IBRD countries)
78,Tonga
214,South Asia (IDA & IBRD)
40,Sub-Saharan Africa (IDA & IBRD countries)
177,Trinidad and Tobago
122,Tunisia
202,Turkey
45,Tanzania
22,Uganda
1,Ukraine
97,Upper middle income
128,Uruguay
153,United States
230,Uzbekistan
74,St. Vincent and the Grenadines
84,"Venezuela, RB"
166,Virgin Islands (U.S.)
72,Vietnam
157,Vanuatu
176,World
232,Samoa
141,"Yemen, Rep."
34,South Africa
25,Zambia
26,Zimbabwe
