rank,id
37,Aruba
70,Afghanistan
103,Angola
26,Albania
207,Arab World
2,United Arab Emirates
111,Argentina
7,Antigua and Barbuda
88,Australia
130,Austria
117,Burundi
87,Belgium
169,Benin
120,Burkina Faso
91,Bangladesh
45,Bulgaria
135,Bahrain
17,"Bahamas, The"
150,Belize
27,Bermuda
177,Bolivia
206,Brazil
181,Barbados
23,Brunei Darussalam
4,Central African Republic
124,Canada
49,Central Europe and the Baltics
107,Switzerland
210,Chile
155,China
31,Cote d'Ivoire
30,Cameroon
139,"Congo, Dem. Rep."
8,"Congo, Rep."
110,Colombia
127,Comoros
108,Cabo Verde
197,Costa Rica
175,Caribbean small states
28,Cuba
67,Cayman Islands
69,Cyprus
19,Djibouti
162,Dominica
74,Denmark
176,Dominican Republic
136,Algeria
158,East Asia & Pacific (excluding high income)
154,Early-demographic dividend
172,East Asia & Pacific
41,Europe & Central Asia (excluding high income)
38,Europe & Central Asia
105,Ecuador
167,"Egypt, Arab Rep."
83,Spain
48,Ethiopia
98,European Union
148,Fragile and conflict affected situations
121,Finland
33,Fiji
92,France
90,Faroe Islands
58,Gabon
128,United Kingdom
61,Ghana
202,Gibraltar
25,Guinea
119,"Gambia, The"
104,Guinea-Bissau
59,Equatorial Guinea
47,Greece
165,Grenada
11,Greenland
187,Guatemala
54,Guyana
118,High income
84,"Hong Kong SAR, China"
208,Honduras
101,Heavily indebted poor countries (HIPC)
151,Haiti
53,Hungary
199,IBRD only
189,IDA & IBRD total
182,IDA total
126,IDA blend
161,Indonesia
82,IDA only
76,India
96,Ireland
200,"Iran, Islamic Rep."
40,Iraq
15,Iceland
102,Israel
134,Italy
71,Jamaica
72,Jordan
160,Japan
34,Kenya
36,Cambodia
10,Kiribati
166,St. Kitts and Nevis
156,"Korea, Rep."
56,Kuwait
173,Latin America & Caribbean (excluding high income)
1,Lao PDR
168,Lebanon
65,Liberia
3,Libya
183,St. Lucia
180,Latin America & Caribbean
43,Least developed countries: UN classification
55,Low income
100,Sri Lanka
147,Lower middle income
188,Low & middle income
186,Late-demographic dividend
129,Luxembourg
94,"Macao SAR, China"
164,Morocco
14,Madagascar
194,Middle East & North Africa
89,Mexico
201,Middle income
64,Mali
75,Malta
22,Myanmar
195,Middle East & North Africa (excluding high income)
32,Mongolia
80,Mozambique
5,Mauritania
171,Mauritius
50,Malawi
185,Malaysia
114,North America
18,New Caledonia
146,Niger
86,Nigeria
73,Nicaragua
112,Netherlands
123,Norway
21,Nepal
44,Nauru
99,New Zealand
142,OECD members
205,Oman
170,Other small states
149,Pakistan
77,Panama
68,Peru
113,Philippines
24,Palau
106,Papua New Guinea
51,Poland
109,Pre-demographic dividend
81,"Korea, Dem. People�۪s Rep."
66,Portugal
204,Paraguay
60,Pacific island small states
137,Post-demographic dividend
174,French Polynesia
35,Qatar
42,Romania
29,Russian Federation
145,Rwanda
62,South Asia
140,Saudi Arabia
46,Senegal
133,Singapore
116,Solomon Islands
12,Sierra Leone
152,El Salvador
16,Somalia
141,Sub-Saharan Africa (excluding high income)
143,Sub-Saharan Africa
193,Small states
131,Sao Tome and Principe
78,Suriname
93,Sweden
97,Eswatini
178,Seychelles
20,Syrian Arab Republic
95,Chad
157,East Asia & Pacific (IDA & IBRD countries)
52,Europe & Central Asia (IDA & IBRD countries)
9,Togo
184,Thailand
191,Latin America & the Caribbean (IDA & IBRD countries)
192,Middle East & North Africa (IDA & IBRD countries)
163,Tonga
63,South Asia (IDA & IBRD)
144,Sub-Saharan Africa (IDA & IBRD countries)
209,Trinidad and Tobago
190,Tunisia
159,Turkey
57,Tanzania
115,Uganda
198,Upper middle income
39,Uruguay
122,United States
203,St. Vincent and the Grenadines
6,"Venezuela, RB"
179,British Virgin Islands
125,Vietnam
13,Vanuatu
138,World
196,Samoa
153,"Yemen, Rep."
132,South Africa
79,Zambia
85,Zimbabwe
